_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
507,2023,M8Y,DOG,TOY POODLE
508,2023,M4C,CAT,DOMESTIC SH
509,2023,M4C,CAT,DOMESTIC SH
510,2023,M5V,DOG,GOLDEN RETR
511,2025,M6S,DOG,GOLDEN RETR
512,2025,M1E,CAT,DOMESTIC SH
513,2023,M1E,CAT,DOMESTIC SH
514,2023,M1X,CAT,DOMESTIC SH
515,2024,M4R,CAT,DOMESTIC SH
516,2024,M1B,DOG,PARSON RUSS TER
517,2025,M6B,CAT,DOMESTIC SH
518,2023,M6B,CAT,DOMESTIC SH
519,2024,M8V,CAT,DOMESTIC SH
520,2023,M5J,DOG,SHIH TZU
521,2023,M3B,CAT,DOMESTIC LH
522,2024,M4K,CAT,DOMESTIC SH
523,2023,M6M,DOG,PARSON RUSS TER
524,2023,M6J,CAT,DOMESTIC MH
525,2024,M6C,CAT,DOMESTIC SH
526,2023,M1W,DOG,MALTESE
527,2023,M8Z,DOG,SHIH TZU
528,2024,M4C,DOG,PARSON RUSS TER
529,2023,M3B,DOG,AUST SHEPHERD
530,2023,M1B,CAT,DOMESTIC SH
531,2023,M6L,DOG,BICHON FRISE
532,2023,M1C,CAT,DOMESTIC SH
533,2023,M1P,DOG,SHIH TZU
534,2023,M5P,DOG,HAVANESE
535,2023,M9B,DOG,SCHNAUZER MIN
536,2025,M5N,DOG,HAVANESE
537,2023,M5N,DOG,HAVANESE
538,2023,M6S,CAT,DOMESTIC SH
539,2023,M5A,DOG,LABRADOR RETR
540,2024,M6N,CAT,DOMESTIC SH
541,2023,M3C,DOG,PUG
542,2023,M4J,CAT,DOMESTIC SH
543,2023,M1E,DOG,POODLE MIN
544,2023,M9B,CAT,DOMESTIC MH
545,2024,M4G,CAT,DOMESTIC SH
546,2023,M4A,CAT,DOMESTIC SH
547,2023,M4A,CAT,DOMESTIC SH
548,2023,M1H,DOG,YORKSHIRE TERR
549,2023,M9W,DOG,SHIH TZU
550,2023,M1B,DOG,POODLE MIN
551,2023,M4L,CAT,DOMESTIC SH
552,2023,M9C,DOG,SHIH TZU
